Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2024-10-15,,7:00 PM,Vancouver Canucks,1,Tampa Bay Lightning,4,Regulation,,,6.5,108,-125,,,,,
2024-10-15,,7:00 PM,Vegas Golden Knights,2,Washington Capitals,4,Regulation,,,6,-100,-120,,,,,
2024-10-16,,10:00 PM,Utah Hockey Club,4,Anaheim Ducks,5,Regulation,,,6,-115,-105,,,,,
2024-10-16,,9:30 PM,Boston Bruins,5,Colorado Avalanche,3,Regulation,,,6.5,-135,115,,,,,
2024-10-16,,7:00 PM,Buffalo Sabres,5,Pittsburgh Penguins,6,Regulation,,,6.5,101,-121,,,,,
2024-10-16,,7:30 PM,Los Angeles Kings,2,Toronto Maple Leafs,6,Regulation,,,6,-119,101,,,,,
2024-10-17,,7:00 PM,Buffalo Sabres,4,Columbus Blue Jackets,6,Regulation,,,6.5,104,-122,,,,,
2024-10-17,,8:30 PM,San Jose Sharks,2,Chicago Blackhawks,4,Regulation,,,6,-107,-112,,,,,
2024-10-17,,7:30 PM,New York Rangers,5,Detroit Red Wings,2,Regulation,,,6.5,-108,-111,,,,,
2024-10-17,,7:00 PM,Vancouver Canucks,3,Florida Panthers,2,Regulation,,,5.5,-115,-102,,,,,
2024-10-17,,7:00 PM,Los Angeles Kings,4,Montreal Canadiens,1,Regulation,,,6,103,-121,,,,,
2024-10-17,,8:00 PM,Edmonton Oilers,4,Nashville Predators,2,Regulation,,,6.5,-115,-105,,,,,
2024-10-17,,7:00 PM,New Jersey Devils,3,Ottawa Senators,1,Regulation,,,6.5,-106,-112,,,,,
2024-10-17,,10:00 PM,Philadelphia Flyers,4,Seattle Kraken,6,Regulation,,,6,-115,-105,,,,,
2024-10-17,,8:00 PM,New York Islanders,0,St. Louis Blues,1,Regulation,,,6,-101,-116,,,,,
2024-10-17,,7:00 PM,Vegas Golden Knights,3,Tampa Bay Lightning,4,Regulation,,,6,-121,102,,,,,
2024-10-17,,7:00 PM,Dallas Stars,2,Washington Capitals,3,Regulation,,,6,103,-121,,,,,
2024-10-18,,9:00 PM,Anaheim Ducks,3,Colorado Avalanche,4,Regulation,,,6.5,-130,113,,,,,
2024-10-18,,7:00 PM,Carolina Hurricanes,4,Pittsburgh Penguins,1,Regulation,,,6.5,-100,-117,,,,,
2024-10-18,,8:00 PM,San Jose Sharks,3,Winnipeg Jets,8,Regulation,,,5.5,-125,108,,,,,
2024-10-19,,7:00 PM,Minnesota Wild,3,Columbus Blue Jackets,1,Regulation,,,6.5,107,-125,,,,,
2024-10-19,,8:00 PM,Buffalo Sabres,4,Chicago Blackhawks,2,Regulation,,,6,-110,-106,,,,,
2024-10-19,,4:00 PM,Edmonton Oilers,1,Dallas Stars,4,Regulation,,,6,-120,-100,,,,,
2024-10-19,,6:00 PM,Vegas Golden Knights,3,Florida Panthers,4,Regulation,,,5.5,-114,-105,,,,,
2024-10-19,,7:00 PM,Washington Capitals,6,New Jersey Devils,5,Regulation,,,6,-117,-102,,,,,
2024-10-19,,2:00 PM,Detroit Red Wings,5,Nashville Predators,2,Regulation,,,6.5,-115,-105,,,,,
2024-10-19,,7:00 PM,Montreal Canadiens,3,New York Islanders,4,Regulation,,,6,-115,-105,,,,,
2024-10-19,,1:00 PM,Tampa Bay Lightning,4,Ottawa Senators,5,Regulation,,,6.5,-121,102,,,,,
2024-10-19,,7:00 PM,Vancouver Canucks,3,Philadelphia Flyers,0,Regulation,,,6,-115,-104,,,,,
2024-10-19,,10:00 PM,Calgary Flames,1,Seattle Kraken,2,Regulation,,,6,-119,101,,,,,
2024-10-19,,7:00 PM,Carolina Hurricanes,3,St. Louis Blues,4,Regulation,,,6,-103,-116,,,,,
2024-10-19,,7:00 PM,New York Rangers,4,Toronto Maple Leafs,1,Regulation,,,6.5,-105,-115,,,,,
2024-10-19,,9:00 PM,Boston Bruins,1,Utah Hockey Club,2,Regulation,,,6,-113,-106,,,,,
2024-10-20,,8:00 PM,Los Angeles Kings,4,Anaheim Ducks,1,Regulation,,,6,-120,102,,,,,
2024-10-20,,8:00 PM,Colorado Avalanche,4,San Jose Sharks,1,Regulation,,,6.5,-113,-106,,,,,
2024-10-20,,3:00 PM,Pittsburgh Penguins,3,Winnipeg Jets,6,Regulation,,,6,-120,103,,,,,
2024-10-21,,7:30 PM,Tampa Bay Lightning,2,Toronto Maple Leafs,5,Regulation,,,6.5,-109,-110,,,,,
2024-10-22,,10:15 PM,San Jose Sharks,1,Anaheim Ducks,3,Regulation,,,6,-103,-115,,,,,
2024-10-22,,7:00 PM,Dallas Stars,2,Buffalo Sabres,4,Regulation,,,6,-103,-115,,,,,
2024-10-22,,7:30 PM,Toronto Maple Leafs,2,Columbus Blue Jackets,6,Regulation,,,6.5,-110,-107,,,,,
2024-10-22,,9:30 PM,Pittsburgh Penguins,3,Calgary Flames,4,Regulation,,,6.5,-108,-110,,,,,
2024-10-22,,8:15 PM,Vancouver Canucks,6,Chicago Blackhawks,3,Regulation,,,6,-100,-118,,,,,
2024-10-22,,9:00 PM,Carolina Hurricanes,3,Edmonton Oilers,2,Regulation,,,6,-123,105,,,,,
2024-10-22,,6:30 PM,Minnesota Wild,5,Florida Panthers,1,Regulation,,,5.5,-114,-104,,,,,
2024-10-22,,7:15 PM,New York Rangers,7,Montreal Canadiens,2,Regulation,,,6,-115,-102,,,,,
2024-10-22,,6:45 PM,Tampa Bay Lightning,8,New Jersey Devils,5,Regulation,,,7,113,-131,,,,,
2024-10-22,,8:45 PM,Boston Bruins,0,Nashville Predators,4,Regulation,,,6,-108,-110,,,,,
2024-10-22,,7:45 PM,Detroit Red Wings,1,New York Islanders,0,Regulation,,,6,-115,-102,,,,,
2024-10-22,,6:00 PM,Washington Capitals,4,Philadelphia Flyers,1,Regulation,,,6,-110,-109,,,,,
2024-10-22,,8:30 PM,Colorado Avalanche,3,Seattle Kraken,2,Regulation,,,6,-120,101,,,,,
2024-10-22,,8:00 PM,Winnipeg Jets,3,St. Louis Blues,2,Regulation,,,6,112,-130,,,,,
2024-10-22,,9:15 PM,Ottawa Senators,4,Utah Hockey Club,0,Regulation,,,6.5,-109,-110,,,,,
2024-10-22,,11:00 PM,Los Angeles Kings,1,Vegas Golden Knights,6,Regulation,,,5.5,-121,102,,,,,
2024-10-23,,7:30 PM,Philadelphia Flyers,3,Washington Capitals,6,Regulation,,,6.5,-100,-120,,,,,
2024-10-24,,7:00 PM,Dallas Stars,5,Boston Bruins,2,Regulation,,,5.5,-122,104,,,,,
2024-10-24,,9:00 PM,Carolina Hurricanes,4,Calgary Flames,2,Regulation,,,6,-123,106,,,,,
2024-10-24,,7:00 PM,New Jersey Devils,3,Detroit Red Wings,5,Regulation,,,6.5,-115,-105,,,,,
2024-10-24,,10:30 PM,San Jose Sharks,2,Los Angeles Kings,3,Regulation,,,6,-108,-111,,,,,
2024-10-24,,7:00 PM,Florida Panthers,3,New York Rangers,1,Regulation,,,5.5,-121,102,,,,,
2024-10-24,,10:00 PM,Winnipeg Jets,4,Seattle Kraken,3,Regulation,,,5.5,-120,-100,,,,,
2024-10-24,,7:00 PM,Minnesota Wild,4,Tampa Bay Lightning,2,Regulation,,,6,-120,102,,,,,
2024-10-24,,7:00 PM,St. Louis Blues,5,Toronto Maple Leafs,1,Regulation,,,6,-117,-102,,,,,
2024-10-24,,9:00 PM,Colorado Avalanche,5,Utah Hockey Club,1,Regulation,,,6.5,-109,-109,,,,,
2024-10-25,,8:30 PM,Nashville Predators,3,Chicago Blackhawks,2,Regulation,,,6,-110,-110,,,,,
2024-10-25,,9:00 PM,Pittsburgh Penguins,0,Edmonton Oilers,4,Regulation,,,7,-101,-115,,,,,
2024-10-25,,7:00 PM,New York Islanders,4,New Jersey Devils,3,Regulation,,,6,-118,100,,,,,
2024-10-25,,6:00 PM,Ottawa Senators,4,Vegas Golden Knights,6,Regulation,,,6.5,100,-119,,,,,
2024-10-26,,7:00 PM,Toronto Maple Leafs,3,Boston Bruins,4,Regulation,,,6,-108,-111,,,,,
2024-10-26,,1:00 PM,Detroit Red Wings,3,Buffalo Sabres,5,Regulation,,,6.5,-102,-115,,,,,
2024-10-26,,7:00 PM,Winnipeg Jets,5,Calgary Flames,3,Regulation,,,6,-112,-107,,,,,
2024-10-26,,8:00 PM,Chicago Blackhawks,2,Dallas Stars,4,Regulation,,,6,-112,-107,,,,,
2024-10-26,,4:00 PM,Utah Hockey Club,2,Los Angeles Kings,3,Regulation,,,6,-103,-116,,,,,
2024-10-26,,7:00 PM,St. Louis Blues,2,Montreal Canadiens,5,Regulation,,,6,-111,-108,,,,,
