Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2024-11-09,,7:00 PM,Washington Capitals,8,St. Louis Blues,1,Regulation,,,6,-122,104,,,,,
2024-11-09,,7:00 PM,Montreal Canadiens,1,Toronto Maple Leafs,4,Regulation,,,6,-123,104,,,,,
2024-11-09,,10:00 PM,Edmonton Oilers,7,Vancouver Canucks,3,Regulation,,,6,-117,-102,,,,,
2024-11-09,,3:00 PM,Dallas Stars,1,Winnipeg Jets,4,Regulation,,,6,-115,-102,,,,,
2024-11-10,,8:00 PM,Columbus Blue Jackets,2,Anaheim Ducks,4,Regulation,,,6.5,-102,-116,,,,,
2024-11-10,,7:00 PM,Minnesota Wild,1,Chicago Blackhawks,2,Regulation,,,6,-120,-100,,,,,
2024-11-10,,7:00 PM,San Jose Sharks,1,New Jersey Devils,0,Regulation,,,6.5,-105,-115,,,,,
2024-11-11,,12:30 PM,Montreal Canadiens,7,Buffalo Sabres,5,Regulation,,,6.5,-110,-108,,,,,
2024-11-11,,8:30 PM,Los Angeles Kings,1,Calgary Flames,3,Regulation,,,6,103,-120,,,,,
2024-11-11,,9:00 PM,Nashville Predators,2,Colorado Avalanche,3,Regulation,,,6.5,-115,-103,,,,,
2024-11-11,,7:00 PM,San Jose Sharks,3,Philadelphia Flyers,4,Regulation,,,6,-119,-100,,,,,
2024-11-11,,7:00 PM,Dallas Stars,7,Pittsburgh Penguins,1,Regulation,,,6.5,-109,-110,,,,,
2024-11-11,,10:00 PM,Carolina Hurricanes,5,Vegas Golden Knights,2,Regulation,,,6.5,-107,-112,,,,,
2024-11-12,,9:00 PM,New York Islanders,3,Edmonton Oilers,4,Regulation,,,6,-118,-101,,,,,
2024-11-12,,7:30 PM,New Jersey Devils,4,Florida Panthers,1,Regulation,,,6,-110,-108,,,,,
2024-11-12,,7:00 PM,Winnipeg Jets,6,New York Rangers,3,Regulation,,,6.5,-106,-113,,,,,
2024-11-12,,10:00 PM,Columbus Blue Jackets,2,Seattle Kraken,5,Regulation,,,6.5,106,-124,,,,,
2024-11-12,,8:00 PM,Boston Bruins,3,St. Louis Blues,2,Regulation,,,5.5,-105,-115,,,,,
2024-11-12,,7:00 PM,Ottawa Senators,3,Toronto Maple Leafs,0,Regulation,,,6,100,-120,,,,,
2024-11-12,,10:00 PM,Calgary Flames,1,Vancouver Canucks,3,Regulation,,,6,-117,-101,,,,,
2024-11-13,,10:00 PM,Vegas Golden Knights,3,Anaheim Ducks,2,Regulation,,,6.5,-116,-105,,,,,
2024-11-13,,10:00 PM,Los Angeles Kings,2,Colorado Avalanche,4,Regulation,,,6,-122,103,,,,,
2024-11-13,,7:30 PM,Detroit Red Wings,3,Pittsburgh Penguins,2,Regulation,,,6.5,-110,-110,,,,,
2024-11-13,,9:00 PM,Carolina Hurricanes,1,Utah Hockey Club,4,Regulation,,,6,-115,-103,,,,,
2024-11-13,,7:30 PM,Toronto Maple Leafs,4,Washington Capitals,3,Regulation,,,6,-103,-116,,,,,
2024-11-14,,7:30 PM,St. Louis Blues,3,Buffalo Sabres,4,Regulation,,,6,-110,-110,,,,,
2024-11-14,,8:00 PM,Boston Bruins,2,Dallas Stars,7,Regulation,,,6,-108,-110,,,,,
2024-11-14,,9:00 PM,Nashville Predators,2,Edmonton Oilers,3,Regulation,,,6.5,-102,-115,,,,,
2024-11-14,,7:00 PM,New Jersey Devils,6,Florida Panthers,2,Regulation,,,6,-106,-113,,,,,
2024-11-14,,8:00 PM,Montreal Canadiens,0,Minnesota Wild,3,Regulation,,,6,-117,-102,,,,,
2024-11-14,,7:00 PM,San Jose Sharks,2,New York Rangers,3,Regulation,,,6.5,-115,-103,,,,,
2024-11-14,,7:00 PM,Philadelphia Flyers,5,Ottawa Senators,4,Regulation,,,6,-105,-115,,,,,
2024-11-14,,10:00 PM,Chicago Blackhawks,1,Seattle Kraken,3,Regulation,,,6,102,-121,,,,,
2024-11-14,,7:00 PM,Winnipeg Jets,1,Tampa Bay Lightning,4,Regulation,,,6.5,-108,-111,,,,,
2024-11-14,,10:00 PM,New York Islanders,5,Vancouver Canucks,2,Regulation,,,6,-106,-113,,,,,
2024-11-15,,10:00 PM,Detroit Red Wings,4,Anaheim Ducks,6,Regulation,,,6.5,102,-120,,,,,
2024-11-15,,7:00 PM,Pittsburgh Penguins,2,Columbus Blue Jackets,6,Regulation,,,6.5,-130,113,,,,,
2024-11-15,,9:00 PM,Nashville Predators,0,Calgary Flames,2,Regulation,,,6,-111,-107,,,,,
2024-11-15,,9:00 PM,Washington Capitals,5,Colorado Avalanche,2,Regulation,,,6.5,-134,115,,,,,
2024-11-15,,9:00 PM,Vegas Golden Knights,4,Utah Hockey Club,2,Regulation,,,6,-120,-100,,,,,
2024-11-16,,1:00 PM,St. Louis Blues,3,Boston Bruins,2,Regulation,,,5.5,-120,102,,,,,
2024-11-16,,7:00 PM,Ottawa Senators,0,Carolina Hurricanes,4,Regulation,,,6.5,-105,-115,,,,,
2024-11-16,,7:00 PM,Winnipeg Jets,0,Florida Panthers,5,Regulation,,,6,-110,-110,,,,,
2024-11-16,,8:00 PM,Detroit Red Wings,1,Los Angeles Kings,4,Regulation,,,5.5,-115,-100,,,,,
2024-11-16,,8:00 PM,Dallas Stars,2,Minnesota Wild,1,Regulation,,,6,-105,-115,,,,,
2024-11-16,,7:00 PM,Columbus Blue Jackets,1,Montreal Canadiens,5,Regulation,,,6.5,-113,-105,,,,,
2024-11-16,,7:00 PM,Buffalo Sabres,2,Philadelphia Flyers,5,Regulation,,,6,-115,-105,,,,,
2024-11-16,,7:00 PM,San Jose Sharks,3,Pittsburgh Penguins,4,Regulation,,,6.5,-105,-115,,,,,
2024-11-16,,4:00 PM,New York Islanders,2,Seattle Kraken,3,Regulation,,,5.5,-115,-105,,,,,
2024-11-16,,7:00 PM,New Jersey Devils,0,Tampa Bay Lightning,4,Regulation,,,6,-118,-101,,,,,
2024-11-16,,7:00 PM,Edmonton Oilers,3,Toronto Maple Leafs,4,Regulation,,,6,-115,-105,,,,,
2024-11-16,,10:00 PM,Chicago Blackhawks,1,Vancouver Canucks,4,Regulation,,,6,-117,-103,,,,,
2024-11-17,,5:00 PM,St. Louis Blues,1,Carolina Hurricanes,4,Regulation,,,6,-115,-103,,,,,
2024-11-17,,9:00 PM,New York Rangers,2,Seattle Kraken,0,Regulation,,,6,-125,107,,,,,
2024-11-17,,10:00 PM,Nashville Predators,5,Vancouver Canucks,3,Regulation,,,6,-100,-120,,,,,
2024-11-17,,8:00 PM,Washington Capitals,5,Vegas Golden Knights,2,Regulation,,,6.5,-110,-110,,,,,
2024-11-18,,7:00 PM,Columbus Blue Jackets,5,Boston Bruins,1,Regulation,,,6,-120,102,,,,,
2024-11-18,,8:00 PM,Anaheim Ducks,4,Dallas Stars,2,Regulation,,,6.5,-113,-105,,,,,
2024-11-18,,7:30 PM,Edmonton Oilers,0,Montreal Canadiens,3,Regulation,,,6.5,-105,-113,,,,,
2024-11-18,,7:00 PM,Colorado Avalanche,3,Philadelphia Flyers,2,Regulation,,,6.5,104,-120,,,,,
2024-11-18,,10:30 PM,Detroit Red Wings,4,San Jose Sharks,5,Regulation,,,6,-106,-110,,,,,
2024-11-18,,9:00 PM,Washington Capitals,6,Utah Hockey Club,2,Regulation,,,6.5,-106,-113,,,,,
2024-11-19,,9:00 PM,New York Islanders,1,Calgary Flames,2,Regulation,,,5.5,-120,-100,,,,,
2024-11-19,,8:30 PM,Anaheim Ducks,3,Chicago Blackhawks,2,Regulation,,,6.5,-101,-117,,,,,
2024-11-19,,7:00 PM,Edmonton Oilers,5,Ottawa Senators,2,Regulation,,,6.5,103,-120,,,,,
2024-11-19,,7:00 PM,Tampa Bay Lightning,3,Pittsburgh Penguins,2,Regulation,,,6.5,-110,-108,,,,,
2024-11-19,,8:00 PM,Minnesota Wild,4,St. Louis Blues,2,Regulation,,,5.5,-110,-110,,,,,
2024-11-19,,10:00 PM,New York Rangers,4,Vancouver Canucks,3,Regulation,,,6,-120,-100,,,,,
2024-11-19,,8:00 PM,Florida Panthers,3,Winnipeg Jets,6,Regulation,,,5.5,-117,-102,,,,,
2024-11-20,,8:00 PM,San Jose Sharks,2,Dallas Stars,5,Regulation,,,6.5,-115,-105,,,,,
2024-11-20,,10:30 PM,Buffalo Sabres,1,Los Angeles Kings,0,Regulation,,,5.5,-115,-102,,,,,
2024-11-20,,7:30 PM,Carolina Hurricanes,4,Philadelphia Flyers,1,Regulation,,,6,-115,-105,,,,,
2024-11-20,,10:00 PM,Nashville Predators,0,Seattle Kraken,3,Regulation,,,5.5,-111,-108,,,,,
2024-11-20,,7:30 PM,Vegas Golden Knights,0,Toronto Maple Leafs,3,Regulation,,,6,-124,105,,,,,
2024-11-21,,7:00 PM,Utah Hockey Club,0,Boston Bruins,1,Regulation,,,6,-101,-117,,,,,
2024-11-21,,7:00 PM,Tampa Bay Lightning,6,Columbus Blue Jackets,7,Regulation,,,6.5,-130,110,,,,,
2024-11-21,,9:00 PM,New York Rangers,2,Calgary Flames,3,Regulation,,,6,-106,-112,,,,,
2024-11-21,,8:30 PM,Florida Panthers,1,Chicago Blackhawks,3,Regulation,,,5.5,-121,102,,,,,
2024-11-21,,7:00 PM,New York Islanders,1,Detroit Red Wings,2,Regulation,,,6,-100,-118,,,,,
2024-11-21,,9:00 PM,Minnesota Wild,5,Edmonton Oilers,3,Regulation,,,6,-132,114,,,,,
2024-11-21,,7:00 PM,Carolina Hurricanes,2,New Jersey Devils,4,Regulation,,,6,-105,-110,,,,,
2024-11-21,,7:00 PM,Vegas Golden Knights,3,Ottawa Senators,2,Regulation,,,6.5,-108,-111,,,,,
2024-11-21,,8:00 PM,San Jose Sharks,2,St. Louis Blues,3,Regulation,,,6,-102,-115,,,,,
2024-11-21,,7:00 PM,Colorado Avalanche,2,Washington Capitals,1,Regulation,,,6.5,-120,-100,,,,,
2024-11-22,,10:00 PM,Buffalo Sabres,3,Anaheim Ducks,2,Regulation,,,6,-114,-104,,,,,
2024-11-22,,7:00 PM,Winnipeg Jets,4,Pittsburgh Penguins,1,Regulation,,,6,-115,-102,,,,,
2024-11-23,,7:00 PM,Carolina Hurricanes,4,Columbus Blue Jackets,5,Regulation,,,6.5,-109,-110,,,,,
2024-11-23,,4:00 PM,Minnesota Wild,3,Calgary Flames,4,Regulation,,,5.5,-120,-100,,,,,
2024-11-23,,7:00 PM,Boston Bruins,2,Detroit Red Wings,1,Regulation,,,6,108,-125,,,,,
2024-11-23,,10:00 PM,New York Rangers,2,Edmonton Oilers,6,Regulation,,,6.5,-116,-103,,,,,
2024-11-23,,6:00 PM,Colorado Avalanche,7,Florida Panthers,4,Regulation,,,6,-114,-105,,,,,
2024-11-23,,4:00 PM,Seattle Kraken,1,Los Angeles Kings,2,Regulation,,,5.5,-103,-116,,,,,
2024-11-23,,7:00 PM,Vegas Golden Knights,6,Montreal Canadiens,2,Regulation,,,6.5,102,-120,,,,,
2024-11-23,,7:00 PM,Winnipeg Jets,1,Nashville Predators,4,Regulation,,,6,-120,-100,,,,,
2024-11-23,,7:30 PM,St. Louis Blues,1,New York Islanders,3,Regulation,,,5.5,-116,-103,,,,,
2024-11-23,,7:00 PM,Vancouver Canucks,4,Ottawa Senators,3,Regulation,,,6,-106,-113,,,,,
2024-11-23,,1:00 PM,Chicago Blackhawks,2,Philadelphia Flyers,3,Regulation,,,6,108,-125,,,,,
2024-11-23,,7:00 PM,Utah Hockey Club,6,Pittsburgh Penguins,1,Regulation,,,6.5,102,-120,,,,,
2024-11-23,,8:00 PM,Buffalo Sabres,4,San Jose Sharks,2,Regulation,,,6,-115,-105,,,,,
2024-11-23,,7:00 PM,Dallas Stars,4,Tampa Bay Lightning,2,Regulation,,,6,-114,-104,,,,,
2024-11-23,,7:00 PM,New Jersey Devils,3,Washington Capitals,2,Regulation,,,6,-115,-100,,,,,
2024-11-24,,7:00 PM,Utah Hockey Club,2,Toronto Maple Leafs,3,Regulation,,,6,107,-125,,,,,
2024-11-25,,10:00 PM,Seattle Kraken,3,Anaheim Ducks,2,Regulation,,,5.5,-122,104,,,,,
2024-11-25,,7:00 PM,Dallas Stars,4,Carolina Hurricanes,6,Regulation,,,6.5,-110,-110,,,,,
2024-11-25,,7:00 PM,Washington Capitals,4,Florida Panthers,1,Regulation,,,6,-106,-115,,,,,
2024-11-25,,8:00 PM,Winnipeg Jets,4,Minnesota Wild,1,Regulation,,,5.5,-121,102,,,,,
2024-11-25,,7:00 PM,Nashville Predators,2,New Jersey Devils,5,Regulation,,,6,-107,-112,,,,,
2024-11-25,,7:30 PM,Detroit Red Wings,4,New York Islanders,2,Regulation,,,5.5,-117,-102,,,,,
2024-11-25,,7:00 PM,St. Louis Blues,5,New York Rangers,2,Regulation,,,6,-108,-110,,,,,
2024-11-25,,7:30 PM,Calgary Flames,3,Ottawa Senators,4,Regulation,,,6,-101,-117,,,,,
2024-11-25,,7:00 PM,Vegas Golden Knights,5,Philadelphia Flyers,4,Regulation,,,6,-121,102,,,,,
2024-11-25,,10:30 PM,Los Angeles Kings,2,San Jose Sharks,7,Regulation,,,5.5,-115,-105,,,,,
2024-11-25,,7:00 PM,Colorado Avalanche,2,Tampa Bay Lightning,8,Regulation,,,6.5,-108,-111,,,,,
2024-11-26,,7:00 PM,Vancouver Canucks,2,Boston Bruins,0,Regulation,,,5.5,105,-122,,,,,
2024-11-26,,7:00 PM,Utah Hockey Club,3,Montreal Canadiens,2,Regulation,,,6,-115,-104,,,,,
2024-11-27,,7:00 PM,Minnesota Wild,1,Buffalo Sabres,0,Regulation,,,5.5,-116,100,,,,,
2024-11-27,,7:00 PM,New York Rangers,3,Carolina Hurricanes,4,Regulation,,,6.5,-120,101,,,,,
2024-11-27,,7:30 PM,Montreal Canadiens,4,Columbus Blue Jackets,3,Regulation,,,6.5,-125,105,,,,,
2024-11-27,,8:30 PM,Dallas Stars,2,Chicago Blackhawks,6,Regulation,,,6,-106,-112,,,,,
2024-11-27,,10:00 PM,Vegas Golden Knights,1,Colorado Avalanche,2,Regulation,,,6.5,-123,104,,,,,
2024-11-27,,7:30 PM,Calgary Flames,1,Detroit Red Wings,2,Regulation,,,5.5,-122,102,,,,,
2024-11-27,,7:30 PM,Toronto Maple Leafs,1,Florida Panthers,5,Regulation,,,5.5,-115,-105,,,,,
2024-11-27,,10:00 PM,Winnipeg Jets,1,Los Angeles Kings,4,Regulation,,,5.5,-105,-113,,,,,
2024-11-27,,7:00 PM,St. Louis Blues,3,New Jersey Devils,0,Regulation,,,6,-109,-110,,,,,
2024-11-27,,8:00 PM,Philadelphia Flyers,3,Nashville Predators,2,Regulation,,,6,-100,-120,,,,,
2024-11-27,,7:30 PM,Boston Bruins,6,New York Islanders,3,Regulation,,,5.5,103,-121,,,,,
2024-11-27,,7:30 PM,Vancouver Canucks,4,Pittsburgh Penguins,5,Regulation,,,6,-110,-105,,,,,
2024-11-27,,10:00 PM,Anaheim Ducks,5,Seattle Kraken,2,Regulation,,,5.5,-117,-100,,,,,
2024-11-27,,10:30 PM,Ottawa Senators,4,San Jose Sharks,3,Regulation,,,6,-115,-105,,,,,
2024-11-27,,7:30 PM,Washington Capitals,5,Tampa Bay Lightning,4,Regulation,,,6.5,104,-122,,,,,
2024-11-29,,3:30 PM,Los Angeles Kings,2,Anaheim Ducks,1,Regulation,,,5.5,-115,-100,,,,,
2024-11-29,,6:30 PM,Pittsburgh Penguins,2,Boston Bruins,1,Regulation,,,5.5,-118,102,,,,,
2024-11-29,,3:00 PM,Vancouver Canucks,4,Buffalo Sabres,3,Regulation,,,5.5,-122,104,,,,,
2024-11-29,,3:00 PM,Florida Panthers,6,Carolina Hurricanes,3,Regulation,,,6,-101,-117,,,,,
2024-11-29,,3:00 PM,Calgary Flames,2,Columbus Blue Jackets,5,Regulation,,,6.5,103,-120,,,,,
2024-11-29,,9:00 PM,Colorado Avalanche,3,Dallas Stars,5,Regulation,,,6.5,-115,-104,,,,,
2024-11-29,,3:00 PM,New Jersey Devils,5,Detroit Red Wings,4,Regulation,,,6,-108,-110,,,,,
2024-11-29,,2:00 PM,Chicago Blackhawks,2,Minnesota Wild,3,Regulation,,,5.5,-112,-107,,,,,
2024-11-29,,3:00 PM,Tampa Bay Lightning,3,Nashville Predators,2,Regulation,,,6.5,-113,-106,,,,,
2024-11-29,,1:00 PM,New York Rangers,1,Philadelphia Flyers,3,Regulation,,,6.5,-105,-113,,,,,
2024-11-29,,3:30 PM,Seattle Kraken,5,San Jose Sharks,8,Regulation,,,6,-103,-115,,,,,
2024-11-29,,9:00 PM,Edmonton Oilers,4,Utah Hockey Club,3,Regulation,,,6.5,-103,-117,,,,,
2024-11-29,,8:30 PM,Winnipeg Jets,3,Vegas Golden Knights,4,Regulation,,,6,-104,-112,,,,,
2024-11-29,,3:00 PM,New York Islanders,4,Washington Capitals,5,Regulation,,,6,-103,-114,,,,,
2024-11-30,,10:00 PM,Edmonton Oilers,4,Colorado Avalanche,1,Regulation,,,6.5,-119,100,,,,,
2024-11-30,,4:00 PM,Carolina Hurricanes,0,Florida Panthers,6,Regulation,,,6.5,-106,-115,,,,,
2024-11-30,,7:00 PM,Ottawa Senators,2,Los Angeles Kings,5,Regulation,,,6,101,-120,,,,,
2024-11-30,,8:00 PM,Nashville Predators,2,Minnesota Wild,3,Regulation,,,5.5,-114,-104,,,,,
2024-11-30,,7:00 PM,Washington Capitals,6,New Jersey Devils,5,Regulation,,,6.5,-102,-117,,,,,
2024-11-30,,7:30 PM,Buffalo Sabres,0,New York Islanders,3,Regulation,,,5.5,-117,-101,,,,,
2024-11-30,,1:00 PM,Montreal Canadiens,3,New York Rangers,4,Regulation,,,6.5,-105,-115,,,,,
2024-11-30,,7:00 PM,Calgary Flames,2,Pittsburgh Penguins,6,Regulation,,,6,-122,104,,,,,
2024-11-30,,10:00 PM,San Jose Sharks,4,Seattle Kraken,2,Regulation,,,5.5,-120,100,,,,,
2024-11-30,,7:00 PM,Philadelphia Flyers,3,St. Louis Blues,2,Regulation,,,6,102,-120,,,,,
2024-11-30,,7:00 PM,Toronto Maple Leafs,5,Tampa Bay Lightning,3,Regulation,,,6.5,106,-124,,,,,
2024-11-30,,10:00 PM,Utah Hockey Club,6,Vegas Golden Knights,0,Regulation,,,6.5,-110,-108,,,,,
2024-12-01,,8:00 PM,Ottawa Senators,3,Anaheim Ducks,4,Regulation,,,6,-114,-105,,,,,
2024-12-01,,3:00 PM,Montreal Canadiens,3,Boston Bruins,6,Regulation,,,5.5,-118,-101,,,,,
2024-12-01,,3:00 PM,Columbus Blue Jackets,6,Chicago Blackhawks,3,Regulation,,,6.5,-105,-113,,,,,
2024-12-01,,4:30 PM,Winnipeg Jets,1,Dallas Stars,3,Regulation,,,6,-108,-112,,,,,
2024-12-01,,12:30 PM,Vancouver Canucks,5,Detroit Red Wings,4,Regulation,,,5.5,-117,-101,,,,,
2024-12-02,,7:00 PM,New Jersey Devils,5,New York Rangers,1,Regulation,,,6.5,-103,-115,,,,,
2024-12-02,,7:30 PM,Chicago Blackhawks,1,Toronto Maple Leafs,4,Regulation,,,6,-105,-115,,,,,
2024-12-02,,9:00 PM,Dallas Stars,2,Utah Hockey Club,1,Regulation,,,6.5,-101,-116,,,,,
2024-12-03,,7:00 PM,Detroit Red Wings,2,Boston Bruins,3,Regulation,,,6,-108,-110,,,,,
2024-12-03,,7:00 PM,Colorado Avalanche,5,Buffalo Sabres,4,Regulation,,,6.5,-101,-118,,,,,
2024-12-03,,7:00 PM,Seattle Kraken,4,Carolina Hurricanes,2,Regulation,,,6,-111,-108,,,,,
2024-12-03,,9:00 PM,Columbus Blue Jackets,0,Calgary Flames,3,Regulation,,,6.5,-105,-114,,,,,
2024-12-03,,8:00 PM,Vancouver Canucks,2,Minnesota Wild,3,Regulation,,,5.5,-105,-115,,,,,
2024-12-03,,7:00 PM,New York Islanders,1,Montreal Canadiens,2,Regulation,,,5.5,-113,-106,,,,,
2024-12-03,,7:00 PM,Florida Panthers,4,Pittsburgh Penguins,5,Regulation,,,6.5,-104,-114,,,,,
2024-12-03,,10:00 PM,Edmonton Oilers,0,Vegas Golden Knights,1,Regulation,,,6.5,-106,-112,,,,,
2024-12-03,,8:00 PM,St. Louis Blues,4,Winnipeg Jets,1,Regulation,,,5.5,-120,-100,,,,,
2024-12-03,,7:00 PM,San Jose Sharks,2,Washington Capitals,1,Regulation,,,6,-118,-101,,,,,
2024-12-04,,10:00 PM,Vegas Golden Knights,4,Anaheim Ducks,1,Regulation,,,6.5,102,-120,,,,,
2024-12-04,,7:30 PM,Boston Bruins,4,Chicago Blackhawks,2,Regulation,,,5.5,-103,-117,,,,,
2024-12-04,,10:00 PM,Dallas Stars,2,Los Angeles Kings,3,Regulation,,,5.5,-119,101,,,,,
2024-12-04,,7:30 PM,Nashville Predators,2,Toronto Maple Leafs,3,Regulation,,,6,-103,-115,,,,,
2024-12-05,,7:00 PM,Winnipeg Jets,3,Buffalo Sabres,2,Regulation,,,5.5,-118,-101,,,,,
2024-12-05,,7:00 PM,Colorado Avalanche,3,Carolina Hurricanes,5,Regulation,,,6.5,-120,104,,,,,
2024-12-05,,9:00 PM,St. Louis Blues,4,Calgary Flames,3,Regulation,,,5.5,-123,105,,,,,
2024-12-05,,9:00 PM,Columbus Blue Jackets,3,Edmonton Oilers,6,Regulation,,,6.5,-135,115,,,,,
2024-12-05,,7:00 PM,Nashville Predators,0,Montreal Canadiens,3,Regulation,,,6,-120,-100,,,,,
2024-12-05,,7:30 PM,Seattle Kraken,5,New York Islanders,2,Regulation,,,5.5,105,-125,,,,,
2024-12-05,,7:00 PM,Detroit Red Wings,1,Ottawa Senators,2,Regulation,,,6,-120,-100,,,,,
2024-12-05,,7:00 PM,Florida Panthers,7,Philadelphia Flyers,5,Regulation,,,6,-110,-110,,,,,
2024-12-05,,7:00 PM,San Jose Sharks,1,Tampa Bay Lightning,8,Regulation,,,6,-120,101,,,,,
2024-12-06,,10:00 PM,Minnesota Wild,5,Anaheim Ducks,1,Regulation,,,5.5,-120,-100,,,,,
2024-12-06,,7:00 PM,Seattle Kraken,2,New Jersey Devils,3,Regulation,,,6,-108,-110,,,,,
2024-12-06,,7:30 PM,Pittsburgh Penguins,2,New York Rangers,4,Regulation,,,6.5,-120,102,,,,,
2024-12-06,,7:00 PM,Washington Capitals,3,Toronto Maple Leafs,1,Regulation,,,6,-116,-103,,,,,
2024-12-06,,10:00 PM,Columbus Blue Jackets,2,Vancouver Canucks,5,Regulation,,,6,-125,107,,,,,
2024-12-06,,10:00 PM,Dallas Stars,2,Vegas Golden Knights,3,Regulation,,,6,-110,-108,,,,,
2024-12-07,,1:00 PM,Philadelphia Flyers,3,Boston Bruins,4,Regulation,,,5.5,-123,105,,,,,
2024-12-07,,1:00 PM,Utah Hockey Club,5,Buffalo Sabres,2,Regulation,,,6,-104,-115,,,,,
2024-12-07,,4:00 PM,Winnipeg Jets,4,Chicago Blackhawks,2,Regulation,,,5.5,-122,103,,,,,
2024-12-07,,7:00 PM,Colorado Avalanche,2,Detroit Red Wings,1,Regulation,,,6.5,-128,109,,,,,
2024-12-07,,10:00 PM,St. Louis Blues,2,Edmonton Oilers,4,Regulation,,,6,-123,106,,,,,
2024-12-07,,6:00 PM,San Jose Sharks,1,Florida Panthers,3,Regulation,,,6.5,-100,-117,,,,,
2024-12-07,,8:00 PM,Minnesota Wild,1,Los Angeles Kings,4,Regulation,,,5.5,-105,-113,,,,,
2024-12-07,,7:00 PM,Washington Capitals,4,Montreal Canadiens,2,Regulation,,,6,-106,-113,,,,,
2024-12-07,,5:00 PM,Carolina Hurricanes,3,New York Islanders,4,Regulation,,,6,-101,-118,,,,,
2024-12-07,,7:00 PM,Nashville Predators,1,Ottawa Senators,3,Regulation,,,5.5,-125,107,,,,,
2024-12-07,,7:00 PM,Toronto Maple Leafs,2,Pittsburgh Penguins,5,Regulation,,,6,-115,-103,,,,,
2024-12-08,,8:00 PM,Calgary Flames,2,Dallas Stars,6,Regulation,,,6,-110,-110,,,,,
2024-12-08,,7:00 PM,Colorado Avalanche,4,New Jersey Devils,0,Regulation,,,6.5,-125,108,,,,,
2024-12-08,,1:00 PM,Seattle Kraken,7,New York Rangers,5,Regulation,,,6,-105,-113,,,,,
2024-12-08,,5:00 PM,New York Islanders,4,Ottawa Senators,2,Regulation,,,6,-103,-115,,,,,
2024-12-08,,7:30 PM,Utah Hockey Club,4,Philadelphia Flyers,2,Regulation,,,6,-112,-107,,,,,
2024-12-08,,4:00 PM,Tampa Bay Lightning,4,Vancouver Canucks,2,Regulation,,,6,-112,-106,,,,,
2024-12-08,,6:00 PM,Columbus Blue Jackets,4,Winnipeg Jets,1,Regulation,,,6.5,-108,-112,,,,,
2024-12-09,,7:00 PM,Detroit Red Wings,6,Buffalo Sabres,5,Regulation,,,6,-118,-100,,,,,
2024-12-09,,7:30 PM,Anaheim Ducks,2,Montreal Canadiens,3,Regulation,,,6,-115,-105,,,,,
2024-12-09,,7:00 PM,Chicago Blackhawks,2,New York Rangers,1,Regulation,,,6,-114,-104,,,,,
2024-12-10,,7:00 PM,San Jose Sharks,2,Carolina Hurricanes,3,Regulation,,,6.5,-110,-110,,,,,
2024-12-10,,7:00 PM,Philadelphia Flyers,5,Columbus Blue Jackets,3,Regulation,,,6.5,-110,-108,,,,,
2024-12-10,,9:00 PM,Tampa Bay Lightning,1,Edmonton Oilers,2,Regulation,,,6.5,-122,104,,,,,
2024-12-10,,7:00 PM,Toronto Maple Leafs,2,New Jersey Devils,1,Regulation,,,6,-119,100,,,,,
2024-12-10,,8:00 PM,Calgary Flames,4,Nashville Predators,3,Regulation,,,5.5,-125,108,,,,,
2024-12-10,,7:30 PM,Los Angeles Kings,3,New York Islanders,1,Regulation,,,5.5,112,-130,,,,,
2024-12-10,,7:00 PM,Colorado Avalanche,6,Pittsburgh Penguins,2,Regulation,,,6.5,-125,108,,,,,
2024-12-10,,10:00 PM,Florida Panthers,2,Seattle Kraken,1,Regulation,,,6,-100,-120,,,,,
2024-12-10,,9:30 PM,Minnesota Wild,5,Utah Hockey Club,4,Regulation,,,5.5,-110,-108,,,,,
2024-12-10,,10:00 PM,St. Louis Blues,4,Vancouver Canucks,3,Regulation,,,5.5,-110,-107,,,,,
2024-12-10,,8:00 PM,Boston Bruins,1,Winnipeg Jets,8,Regulation,,,5.5,105,-123,,,,,
2024-12-11,,7:00 PM,New York Rangers,3,Buffalo Sabres,2,Regulation,,,6,-112,-108,,,,,
2024-12-11,,7:30 PM,Anaheim Ducks,1,Ottawa Senators,5,Regulation,,,6,-110,-108,,,,,
2024-12-12,,7:00 PM,Washington Capitals,2,Columbus Blue Jackets,1,Regulation,,,6.5,-110,-108,,,,,
2024-12-12,,9:00 PM,Tampa Bay Lightning,8,Calgary Flames,3,Regulation,,,6,-124,106,,,,,
2024-12-12,,9:00 PM,Utah Hockey Club,4,Colorado Avalanche,1,Regulation,,,6.5,-115,-105,,,,,
2024-12-12,,8:00 PM,Nashville Predators,4,Dallas Stars,1,Regulation,,,6,-110,-108,,,,,
2024-12-12,,8:30 PM,Edmonton Oilers,7,Minnesota Wild,1,Regulation,,,6,-105,-115,,,,,
2024-12-12,,7:00 PM,Pittsburgh Penguins,9,Montreal Canadiens,2,Regulation,,,6.5,-115,-105,,,,,
2024-12-12,,7:00 PM,Los Angeles Kings,1,New Jersey Devils,3,Regulation,,,5.5,-121,101,,,,,
2024-12-12,,7:30 PM,Chicago Blackhawks,4,New York Islanders,5,Regulation,,,5.5,-107,-112,,,,,
