season,date,away,home,game_num,home_gf,home_ga,away_gf,away_ga,home_gf_home,home_ga_home,away_gf_away,away_ga_away,home_rest,away_rest,home_b2b,away_b2b,home_goalie_sv,away_goalie_sv,home_severity,away_severity,line,implied_over,implied_under,over_odds,under_odds,actual_total,label
2024-25,2024-10-26,TOR,BOS,121,3.0268866741316924,3.343126400192974,3.066434995274159,3.172116593506971,3.133438006093507,3.324198387168844,3.0215028930859495,3.109084614904039,1,1,0,0,0.911675,0.9295666666666667,0.0,10.0,6.0,51.92307692307693,52.60663507109005,-108,-111,7,1
2024-25,2024-10-26,CHI,DAL,124,3.1833672286534287,2.739141809504716,2.951358759039013,3.278102198017154,3.1109996422481268,2.6770596976943413,3.0276543618096348,3.0974177066777537,1,0,0,1,0.9169999999999999,0.9018750000000001,2.0,4.0,6.0,52.83018867924528,51.690821256038646,-112,-107,6,
2024-25,2024-10-26,UTA,LAK,125,3.165562910895841,3.2640916072644974,3.019318646054198,3.3668883402298952,3.133995037220844,3.1612903225806455,3.3627423513746164,3.4089651225821087,1,1,0,0,0.8903076923076922,0.88965,2.0,4.0,6.0,50.73891625615764,53.70370370370371,-103,-116,5,0
2024-25,2024-10-26,SJS,VGK,134,3.6286188666753323,3.173860670172829,2.7096132215034263,3.4893566418328548,3.782603628516661,3.0540248156601106,2.890485238023992,3.452932840033515,0,1,1,0,0.9021307692307692,0.8882,4.0,10.0,6.0,52.38095238095239,52.38095238095239,-110,-110,10,1
2024-25,2024-10-27,EDM,DET,136,3.112495361677767,3.183558785087508,2.9001488252863292,3.224618232128417,3.23021603725434,3.2942478324501963,3.1289363290121948,3.187958863906586,0,1,1,0,0.9132857142857144,0.8956692307692309,2.0,0.0,6.5,55.55555555555556,48.07692307692308,-125,108,5,0
2024-25,2024-10-27,MTL,PHI,138,3.165121240960467,3.7073472385262103,3.112700407381845,3.4418463262493253,3.139270767662227,3.3814042058269673,3.263003348603774,3.4715104238116705,0,0,1,1,0.905,0.9028461538461539,4.0,7.0,6.5,53.48837209302325,50.98039215686274,-115,-104,7,1
2024-25,2024-10-28,FLA,BUF,139,3.3266642330442986,3.3007595232454014,3.2664258193793954,3.2357063963366213,3.2456708850991616,3.1054590366695907,3.296407502978355,3.1410227665699035,1,1,0,0,0.90615,0.9031470588235294,2.0,5.0,6.0,53.91705069124424,50.24875621890548,-117,-101,7,1
2024-25,2024-10-28,CHI,COL,141,3.4634834578239544,3.4458710661452954,2.9273925632838127,3.330728382923611,3.346691099633028,3.6440994941927203,2.9447307686317394,3.2238468886621843,0,1,1,0,0.8679666666666667,0.9015823529411766,8.0,3.0,6.5,51.45631067961165,53.051643192488264,-106,-113,7,1
2024-25,2024-10-28,NSH,TBL,142,3.4589455852536792,3.160659163486868,3.0395291745220043,3.296614942860339,3.2256344813477194,2.9432778802893043,3.002084739502682,3.1234986611984343,1,1,0,0,0.8983588235294119,0.906875,2.0,0.0,6.5,48.07692307692308,55.55555555555556,108,-125,5,0
2024-25,2024-10-28,SJS,UTA,143,2.98894115275911,3.3602678905917185,2.754054904674029,3.6770173828969277,2.9154279008129995,3.1937825659004746,2.9070102711042054,3.6847240940574135,1,1,0,0,0.8884529411764706,0.8981999999999999,4.0,12.0,6.0,53.051643192488264,51.45631067961165,-113,-106,9,1
2024-25,2024-10-28,CGY,VGK,145,3.8118665236103038,3.188237478828936,3.335868790127286,3.1675206692611666,3.9877537366422864,3.068194471061346,3.3154736387247015,3.111912998790249,1,1,0,0,0.8941666666666668,0.8880142857142858,4.0,0.0,6.5,52.83018867924528,51.45631067961165,-112,-106,5,0
2024-25,2024-10-28,TOR,WPG,146,3.6981605765145438,2.821055396720353,3.0952539184955663,3.2437853137750667,3.564810442464412,2.9470352959114563,3.0048461029347653,3.2610550288653957,1,1,0,0,0.92805,0.92615,4.0,10.0,5.5,54.12844036697248,50.24875621890548,-118,-101,10,1
2024-25,2024-10-29,PHI,BOS,147,3.1174471542338913,3.357533915669136,3.170833951357931,3.7214523472808465,3.279280973549668,3.293960824424749,3.2362181575529587,3.6950338102443556,2,1,0,0,0.8829999999999999,0.8836875,0.0,4.0,6.5,53.91705069124424,50.0,-117,-100,2,0
2024-25,2024-10-29,SEA,MTL,148,3.1643540789553817,3.416328319334579,3.1609711281454254,3.193824487137178,3.066779418826022,3.296987116550124,3.3912177007647957,3.1783033671520022,1,2,0,0,0.906925,0.9138,5.0,2.0,6.0,52.83018867924528,51.45631067961165,-112,-106,10,1
2024-25,2024-10-29,ANA,NYI,149,3.0183931028321127,3.1637996831525745,2.8734943226023657,3.1838941285709628,3.0961003886543903,3.386008572403037,2.864876186072292,3.184554365392351,2,1,0,0,0.9168285714285715,0.9144375,5.0,2.0,6.0,48.309178743961354,55.55555555555556,107,-125,4,0
2024-25,2024-10-29,STL,OTT,150,3.4360520809232593,3.4406862176728836,3.0964803495654354,3.102364114276241,3.448941039832391,3.3893512547716758,3.354426357483811,3.208678522478869,1,2,0,0,0.9068142857142857,0.9185384615384614,3.0,6.0,6.0,54.54545454545454,50.0,-120,-100,9,1
2024-25,2024-10-29,MIN,PIT,151,3.1197196179869136,3.669484974545819,3.4086270024062095,3.039085951374988,3.062513257285011,3.5841868113894058,3.4067562398017404,2.9898880607551916,2,2,0,0,0.9070333333333334,0.89575,6.0,3.0,6.0,53.051643192488264,51.21951219512195,-113,-105,8,1
2024-25,2024-10-29,LAK,SJS,152,2.889583692401781,3.692555788448333,3.1867945865128298,3.2263547232339285,2.921209409097826,3.339514314728774,3.2159156262311708,3.3590940770695417,0,2,1,0,0.8827333333333333,0.9053666666666668,12.0,2.0,6.0,54.54545454545454,50.0,-120,100,6,
2024-25,2024-10-30,NYI,CBJ,154,3.5867965675625695,3.182849006633509,2.926460496636266,3.1627727701827433,3.5814171113987348,3.1089891333059767,3.0837392700182216,3.0101026435888274,1,0,0,1,0.8979230769230768,0.8999428571428572,6.0,5.0,6.0,50.98039215686274,53.48837209302325,-104,-115,2,0
2024-25,2024-10-30,TBL,COL,155,3.3876992587590697,3.5199887254971802,3.431037246964752,3.1051037456850845,3.268803763495001,3.712816205926552,3.548552033963638,3.43687449013682,1,1,0,0,0.9117875000000001,0.9023333333333334,10.0,2.0,6.5,54.54545454545454,49.01960784313725,-120,104,7,1
2024-25,2024-10-30,WPG,DET,156,3.0665447550906926,3.183190463361889,3.7033460216408876,2.997855611713778,3.168095016371167,3.2805011810901092,3.540660023376838,2.9532139518356164,2,1,0,0,0.916,0.9228117647058824,3.0,4.0,6.0,52.38095238095239,51.690821256038646,-110,-107,8,1
