Date,Away,Away_Abbr,Home,Home_Abbr,Away_G,Home_G,Total,Away_GP_Before,Home_GP_Before,Away_GF_Avg,Away_GA_Avg,Home_GF_Avg,Home_GA_Avg,Eligible,Lambda,Line,Over_Odds,Under_Odds,Home_GF_Model,Home_GA_Model,Away_GF_Model,Away_GA_Model,P_Over,P_Under,Lean,Edge_Over,Edge_Under,Actual_Result,Graded,Hit,Profit
2025-10-13,Tampa Bay Lightning,TBL,Boston Bruins,BOS,4,3,7,2,3,3.5000,5.0000,3.3333,1.6667,False,,,,,,,,,,,,,,,False,,
2025-10-13,Colorado Avalanche,COL,Buffalo Sabres,BUF,3,1,4,3,2,3.3333,2.3333,0.5000,3.5000,False,,,,,,,,,,,,,,,False,,
2025-10-13,New Jersey Devils,NJD,Columbus Blue Jackets,CBJ,3,2,5,2,2,4.0000,4.5000,4.0000,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-13,Utah Mammoth,UTA,Chicago Blackhawks,CHI,1,3,4,2,3,2.0000,2.0000,2.3333,3.3333,False,,,,,,,,,,,,,,,False,,
2025-10-13,Los Angeles Kings,LAK,Minnesota Wild,MIN,3,4,7,3,2,3.0000,4.0000,4.5000,3.5000,False,,,,,,,,,,,,,,,False,,
2025-10-13,Winnipeg Jets,WPG,New York Islanders,NYI,5,2,7,2,2,3.5000,3.5000,2.5000,4.0000,False,,,,,,,,,,,,,,,False,,
2025-10-13,Nashville Predators,NSH,Ottawa Senators,OTT,4,1,5,2,2,2.0000,2.0000,3.5000,5.0000,False,,,,,,,,,,,,,,,False,,
2025-10-13,Florida Panthers,FLA,Philadelphia Flyers,PHI,2,5,7,3,2,3.6667,1.6667,2.0000,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-13,Detroit Red Wings,DET,Toronto Maple Leafs,TOR,3,2,5,2,2,3.5000,4.0000,4.0000,4.0000,False,,,,,,,,,,,,,,,False,,
2025-10-13,St. Louis Blues,STL,Vancouver Canucks,VAN,5,2,7,2,2,2.0000,3.5000,3.0000,2.0000,False,,,,,,,,,,,,,,,False,,
2025-10-14,Pittsburgh Penguins,PIT,Anaheim Ducks,ANA,3,4,7,3,2,2.6667,3.0000,4.0000,4.5000,False,,,,,,,,,,,,,,,False,,
2025-10-14,Vegas Golden Knights,VGK,Calgary Flames,CGY,4,2,6,3,3,3.3333,3.6667,2.3333,4.0000,False,,,,,,,,,,,,,,,False,,
2025-10-14,Minnesota Wild,MIN,Dallas Stars,DAL,2,5,7,3,2,4.3333,3.3333,5.0000,4.0000,False,,,,,,,,,,,,,,,False,,
2025-10-14,Seattle Kraken,SEA,Montreal Canadiens,MTL,4,5,9,2,3,2.5000,1.0000,3.3333,2.6667,False,,,,,,,,,,,,,,,False,,
2025-10-14,Edmonton Oilers,EDM,New York Rangers,NYR,2,0,2,2,4,3.0000,2.5000,2.5000,1.2500,False,,,,,,,,,,,,,,,False,,
2025-10-14,Carolina Hurricanes,CAR,San Jose Sharks,SJS,5,1,6,2,2,5.0000,3.0000,4.5000,5.5000,False,,,,,,,,,,,,,,,False,,
2025-10-14,Nashville Predators,NSH,Toronto Maple Leafs,TOR,4,7,11,3,3,2.6667,1.6667,3.3333,3.6667,False,,,,,,,,,,,,,,,False,,
2025-10-14,Tampa Bay Lightning,TBL,Washington Capitals,WSH,2,3,5,3,3,3.6667,4.3333,2.0000,1.6667,False,,,,,,,,,,,,,,,False,,
2025-10-15,Ottawa Senators,OTT,Buffalo Sabres,BUF,4,8,12,3,3,2.6667,4.6667,0.6667,3.3333,False,,,,,,,,,,,,,,,False,,
2025-10-15,Florida Panthers,FLA,Detroit Red Wings,DET,1,4,5,4,3,3.2500,2.5000,3.3333,3.3333,False,,,,,,,,,,,,,,,False,,
2025-10-15,Chicago Blackhawks,CHI,St. Louis Blues,STL,8,3,11,4,3,2.5000,2.7500,3.0000,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-15,Calgary Flames,CGY,Utah Mammoth,UTA,1,3,4,4,3,2.2500,4.0000,1.6667,2.3333,False,,,,,,,,,,,,,,,False,,
2025-10-16,Carolina Hurricanes,CAR,Anaheim Ducks,ANA,4,1,5,3,3,5.0000,2.3333,4.0000,4.0000,False,,,,,,,,,,,,,,,False,,
2025-10-16,Colorado Avalanche,COL,Columbus Blue Jackets,CBJ,4,1,5,4,3,3.2500,2.0000,3.3333,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-16,Vancouver Canucks,VAN,Dallas Stars,DAL,5,3,8,3,3,2.6667,3.0000,5.0000,3.3333,False,,,,,,,,,,,,,,,False,,
2025-10-16,Pittsburgh Penguins,PIT,Los Angeles Kings,LAK,4,2,6,4,4,2.7500,3.2500,3.0000,4.0000,False,,,,,,,,,,,,,,,False,,
2025-10-16,Nashville Predators,NSH,Montreal Canadiens,MTL,2,3,5,4,4,3.0000,3.0000,3.7500,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-16,Florida Panthers,FLA,New Jersey Devils,NJD,1,3,4,5,3,2.8000,2.8000,3.6667,3.6667,False,,,,,,,,,,,,,,,False,,
2025-10-16,Edmonton Oilers,EDM,New York Islanders,NYI,2,4,6,3,3,2.6667,1.6667,2.3333,4.3333,False,,,,,,,,,,,,,,,False,,
2025-10-16,Seattle Kraken,SEA,Ottawa Senators,OTT,3,4,7,3,4,3.0000,2.3333,3.0000,5.5000,False,,,,,,,,,,,,,,,False,,
2025-10-16,Winnipeg Jets,WPG,Philadelphia Flyers,PHI,5,2,7,3,3,4.0000,3.0000,3.0000,2.6667,False,,,,,,,,,,,,,,,False,,
2025-10-16,New York Rangers,NYR,Toronto Maple Leafs,TOR,1,2,3,5,4,2.0000,1.4000,4.2500,3.7500,False,,,,,,,,,,,,,,,False,,
2025-10-16,Boston Bruins,BOS,Vegas Golden Knights,VGK,5,6,11,4,4,3.2500,2.2500,3.5000,3.2500,False,,,,,,,,,,,,,,,False,,
2025-10-17,Vancouver Canucks,VAN,Chicago Blackhawks,CHI,3,2,5,4,5,3.2500,3.0000,3.6000,2.8000,False,,,,,,,,,,,,,,,False,,
2025-10-17,Tampa Bay Lightning,TBL,Detroit Red Wings,DET,1,2,3,4,4,3.2500,4.0000,3.5000,2.7500,False,,,,,,,,,,,,,,,False,,
2025-10-17,San Jose Sharks,SJS,Utah Mammoth,UTA,3,6,9,3,4,3.3333,5.3333,2.0000,2.0000,False,,,,,,,,,,,,,,,False,,
2025-10-17,Minnesota Wild,MIN,Washington Capitals,WSH,1,5,6,4,4,3.7500,3.7500,2.2500,1.7500,False,,,,,,,,,,,,,,,False,,
2025-10-18,Florida Panthers,FLA,Buffalo Sabres,BUF,0,3,3,6,4,2.5000,2.8333,2.5000,3.5000,False,,,,,,,,,,,,,,,False,,
2025-10-18,Tampa Bay Lightning,TBL,Columbus Blue Jackets,CBJ,2,3,5,5,4,2.8000,3.6000,2.7500,3.2500,False,,,,,,,,,,,,,,,False,,
2025-10-18,Boston Bruins,BOS,Colorado Avalanche,COL,1,4,5,5,5,3.6000,3.0000,3.4000,1.8000,False,,,,,,,,,,,,,,,False,,
2025-10-18,Carolina Hurricanes,CAR,Los Angeles Kings,LAK,4,3,7,4,5,4.7500,2.0000,2.8000,4.0000,False,,,,,,,,,,,,,,,False,,
2025-10-18,New York Rangers,NYR,Montreal Canadiens,MTL,4,3,7,6,5,1.8333,1.5000,3.6000,2.8000,False,,,,,,,,,,,,,,,False,,
2025-10-18,Edmonton Oilers,EDM,New Jersey Devils,NJD,3,5,8,4,4,2.5000,2.2500,3.5000,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-18,New York Islanders,NYI,Ottawa Senators,OTT,5,4,9,4,5,2.7500,3.7500,3.2000,5.0000,False,,,,,,,,,,,,,,,False,,
2025-10-18,Minnesota Wild,MIN,Philadelphia Flyers,PHI,1,2,3,5,4,3.2000,4.0000,2.7500,3.2500,False,,,,,,,,,,,,,,,False,,
2025-10-18,Pittsburgh Penguins,PIT,San Jose Sharks,SJS,3,0,3,5,4,3.0000,3.0000,3.2500,5.5000,False,,,,,,,,,,,,,,,False,,
2025-10-18,Dallas Stars,DAL,St. Louis Blues,STL,1,3,4,4,4,4.5000,3.7500,3.0000,4.2500,False,,,,,,,,,,,,,,,False,,
2025-10-18,Seattle Kraken,SEA,Toronto Maple Leafs,TOR,4,3,7,4,5,3.0000,2.7500,3.8000,3.2000,False,,,,,,,,,,,,,,,False,,
2025-10-18,Calgary Flames,CGY,Vegas Golden Knights,VGK,1,6,7,5,5,2.0000,3.8000,4.0000,3.6000,False,,,,,,,,,,,,,,,False,,
2025-10-18,Nashville Predators,NSH,Winnipeg Jets,WPG,1,4,5,5,4,2.8000,3.0000,4.2500,2.7500,False,,,,,,,,,,,,,,,False,,
2025-10-19,Anaheim Ducks,ANA,Chicago Blackhawks,CHI,1,2,3,4,6,3.2500,4.0000,3.3333,2.8333,False,,,,,,,,,,,,,,,False,,
2025-10-19,Edmonton Oilers,EDM,Detroit Red Wings,DET,2,4,6,5,5,2.6000,2.8000,3.2000,2.4000,False,,,,,,,,,,,,,,,False,,
2025-10-19,Boston Bruins,BOS,Utah Mammoth,UTA,2,3,5,6,5,3.1667,3.1667,2.8000,2.2000,False,,,,,,,,,,,,,,,False,,
2025-10-19,Vancouver Canucks,VAN,Washington Capitals,WSH,4,3,7,5,5,3.2000,2.8000,2.8000,1.6000,False,,,,,,,,,,,,,,,False,,
2025-10-20,Winnipeg Jets,WPG,Calgary Flames,CGY,2,1,3,5,6,4.2000,2.4000,1.8333,4.1667,False,,,,,,,,,,,,,,,False,,
2025-10-20,Buffalo Sabres,BUF,Montreal Canadiens,MTL,2,4,6,5,6,2.6000,2.8000,3.5000,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-20,Minnesota Wild,MIN,New York Rangers,NYR,3,1,4,6,7,2.8333,3.6667,2.1429,1.7143,False,,,,,,,,,,,,,,,False,,
2025-10-20,Seattle Kraken,SEA,Philadelphia Flyers,PHI,2,5,7,5,5,3.2000,2.8000,2.6000,2.8000,False,,,,,,,,,,,,,,,False,,
2025-10-20,Carolina Hurricanes,CAR,Vegas Golden Knights,VGK,1,4,5,5,6,4.6000,2.2000,4.3333,3.1667,False,,,,,,,,,,,,,,,False,,
2025-10-21,Florida Panthers,FLA,Boston Bruins,BOS,4,3,7,7,7,2.1429,2.8571,3.0000,3.1429,False,,,,,,,,,,,,,,,False,,
2025-10-21,Columbus Blue Jackets,CBJ,Dallas Stars,DAL,5,1,6,5,5,2.8000,3.0000,3.8000,3.6000,False,,,,,,,,,,,,,,,False,,
2025-10-21,Anaheim Ducks,ANA,Nashville Predators,NSH,5,2,7,5,6,2.8000,3.6000,2.5000,3.1667,False,,,,,,,,,,,,,,,False,,
2025-10-21,San Jose Sharks,SJS,New York Islanders,NYI,3,4,7,5,5,2.6000,5.0000,3.2000,3.8000,False,,,,,,,,,,,,,,,False,,
2025-10-21,Edmonton Oilers,EDM,Ottawa Senators,OTT,3,2,5,6,6,2.5000,3.0000,3.3333,5.0000,False,,,,,,,,,,,,,,,False,,
2025-10-21,Vancouver Canucks,VAN,Pittsburgh Penguins,PIT,1,5,6,6,6,3.3333,2.8333,3.0000,2.5000,False,,,,,,,,,,,,,,,False,,
2025-10-21,Los Angeles Kings,LAK,St. Louis Blues,STL,2,1,3,6,5,2.8333,4.0000,3.0000,3.6000,False,,,,,,,,,,,,,,,False,,
2025-10-21,New Jersey Devils,NJD,Toronto Maple Leafs,TOR,5,2,7,5,6,3.8000,3.0000,3.6667,3.3333,False,,,,,,,,,,,,,,,False,,
2025-10-21,Colorado Avalanche,COL,Utah Mammoth,UTA,3,4,7,6,6,3.5000,1.6667,2.8333,2.1667,False,,,,,,,,,,,,,,,False,,
2025-10-21,Seattle Kraken,SEA,Washington Capitals,WSH,1,4,5,6,6,3.0000,3.1667,2.8333,2.0000,False,,,,,,,,,,,,,,,False,,
2025-10-22,Detroit Red Wings,DET,Buffalo Sabres,BUF,2,4,6,6,6,3.3333,2.3333,2.5000,3.0000,False,,,,,,,,,,,,,,,False,,
2025-10-22,Montreal Canadiens,MTL,Calgary Flames,CGY,2,1,3,7,7,3.5714,2.8571,1.7143,3.8571,False,,,,,,,,,,,,,,,False,,
2025-10-22,Minnesota Wild,MIN,New Jersey Devils,NJD,1,4,5,7,6,2.8571,3.2857,4.0000,2.8333,False,,,,,,,,,,,,,,,False,,
2025-10-23,Anaheim Ducks,ANA,Boston Bruins,BOS,7,5,12,6,8,3.1667,3.3333,3.0000,3.2500,False,,,,,,,,,,,,,,,False,,
2025-10-23,Carolina Hurricanes,CAR,Colorado Avalanche,COL,5,4,9,6,7,4.0000,2.5000,3.4286,2.0000,False,,,,,,,,,,,,,,,False,,
2025-10-23,Los Angeles Kings,LAK,Dallas Stars,DAL,3,2,5,7,6,2.7143,3.5714,3.3333,3.8333,False,,,,,,,,,,,,,,,False,,
2025-10-23,Montreal Canadiens,MTL,Edmonton Oilers,EDM,5,6,11,8,7,3.3750,2.6250,2.5714,2.8571,False,,,,,,,,,,,,,,,False,,
