Date,Away_Abbr,Home_Abbr,Away_G,Home_G,Total,Eligible,Line,P_Over,P_Under,Lean,Edge_Over,Edge_Under,Actual_Result,Graded,Hit,Profit
2025-10-19,VAN,WSH,4,3,7,False,,,,,,,,False,,
2025-10-20,WPG,CGY,2,1,3,False,,,,,,,,False,,
2025-10-20,BUF,MTL,2,4,6,False,,,,,,,,False,,
2025-10-20,MIN,NYR,3,1,4,False,,,,,,,,False,,
2025-10-20,SEA,PHI,2,5,7,False,,,,,,,,False,,
2025-10-20,CAR,VGK,1,4,5,False,,,,,,,,False,,
2025-10-21,FLA,BOS,4,3,7,False,,,,,,,,False,,
2025-10-21,CBJ,DAL,5,1,6,False,,,,,,,,False,,
2025-10-21,ANA,NSH,5,2,7,False,,,,,,,,False,,
2025-10-21,SJS,NYI,3,4,7,False,,,,,,,,False,,
2025-10-21,EDM,OTT,3,2,5,False,,,,,,,,False,,
2025-10-21,VAN,PIT,1,5,6,False,,,,,,,,False,,
2025-10-21,LAK,STL,2,1,3,False,,,,,,,,False,,
2025-10-21,NJD,TOR,5,2,7,False,,,,,,,,False,,
2025-10-21,COL,UTA,3,4,7,False,,,,,,,,False,,
2025-10-21,SEA,WSH,1,4,5,False,,,,,,,,False,,
2025-10-22,DET,BUF,2,4,6,False,,,,,,,,False,,
2025-10-22,MTL,CGY,2,1,3,False,,,,,,,,False,,
2025-10-22,MIN,NJD,1,4,5,False,,,,,,,,False,,
2025-10-23,ANA,BOS,7,5,12,False,,,,,,,,False,,
2025-10-23,CAR,COL,5,4,9,False,,,,,,,,False,,
2025-10-23,LAK,DAL,3,2,5,False,,,,,,,,False,,
2025-10-23,MTL,EDM,5,6,11,False,,,,,,,,False,,
2025-10-23,PIT,FLA,5,3,8,False,,,,,,,,False,,
2025-10-23,VAN,NSH,1,2,3,False,,,,,,,,False,,
2025-10-23,DET,NYI,2,7,9,False,,,,,,,,False,,
2025-10-23,SJS,NYR,6,5,11,False,,,,,,,,False,,
2025-10-23,PHI,OTT,1,2,3,False,,,,,,,,False,,
2025-10-23,UTA,STL,7,4,11,False,,,,,,,,False,,
2025-10-23,CHI,TBL,3,2,5,False,,,,,,,,False,,
2025-10-23,SEA,WPG,3,0,3,False,,,,,,,,False,,
2025-10-24,TOR,BUF,3,5,8,False,,,,,,,,False,,
2025-10-24,WSH,CBJ,5,1,6,False,,,,,,,,False,,
2025-10-24,SJS,NJD,1,3,4,False,,,,,,,,False,,
2025-10-24,CGY,WPG,3,5,8,False,,,,,,,,False,,
2025-10-25,COL,BOS,2,3,5,True,6.0,0.6242,0.3758,Over,10.04,-14.80,Under,True,False,-100.00
2025-10-25,CAR,DAL,2,3,5,False,,,,,,,,False,,
2025-10-25,STL,DET,4,6,10,False,,,,,,,,False,,
2025-10-25,VGK,FLA,0,3,3,False,,,,,,,,False,,
2025-10-25,UTA,MIN,6,2,8,True,6.0,0.5686,0.4314,Toss-up,6.86,-11.41,Over,False,False,
2025-10-25,LAK,NSH,4,5,9,True,5.5,0.5326,0.4674,Toss-up,0.88,-5.64,Over,False,False,
2025-10-25,NYI,PHI,3,4,7,False,,,,,,,,False,,
2025-10-25,CBJ,PIT,5,4,9,False,,,,,,,,False,,
2025-10-25,EDM,SEA,2,3,5,True,6.0,0.5563,0.4437,Toss-up,6.85,-11.19,Under,False,False,
2025-10-25,ANA,TBL,3,4,7,False,,,,,,,,False,,
2025-10-25,BUF,TOR,3,4,7,True,6.5,0.4658,0.5342,Toss-up,-6.90,2.20,Over,False,False,
2025-10-25,MTL,VAN,4,3,7,True,6.0,0.5824,0.4176,Over,7.02,-11.73,Over,True,True,95.24
2025-10-25,OTT,WSH,7,1,8,True,5.5,0.5775,0.4225,Toss-up,3.21,-7.75,Over,False,False,
2025-10-26,NYR,CGY,1,5,6,True,5.5,0.4609,0.5391,Toss-up,-5.13,0.42,Over,False,False,
2025-10-26,LAK,CHI,3,1,4,True,6.0,0.5664,0.4336,Toss-up,3.16,-7.86,Under,False,False,
2025-10-26,SJS,MIN,6,5,11,True,6.5,0.4843,0.5157,Toss-up,-2.78,-1.92,Over,False,False,
2025-10-26,COL,NJD,3,4,7,True,6.0,0.5590,0.4410,Toss-up,2.41,-7.12,Over,False,False,
2025-10-26,DAL,NSH,3,2,5,True,6.0,0.5883,0.4117,Over,6.45,-11.21,Under,True,False,-100.00
2025-10-26,VGK,TBL,1,2,3,True,6.0,0.5956,0.4044,Over,5.01,-9.56,Under,True,False,-100.00
2025-10-26,EDM,VAN,3,4,7,True,6.0,0.5609,0.4391,Toss-up,3.70,-8.47,Over,False,False,
2025-10-26,UTA,WPG,3,2,5,True,5.5,0.5730,0.4270,Toss-up,2.76,-7.30,Under,False,False,
2025-10-27,BOS,OTT,2,7,9,True,6.0,0.6805,0.3195,Over,14.56,-19.27,Over,True,True,86.96
2025-10-27,STL,PIT,3,6,9,True,6.0,0.6549,0.3451,Over,12.00,-16.71,Over,True,True,86.96
2025-10-28,NYI,BOS,2,5,7,True,6.5,0.5508,0.4492,Toss-up,3.86,-8.57,Over,False,False,
2025-10-28,CBJ,BUF,4,3,7,True,6.5,0.4293,0.5707,Toss-up,-9.45,4.69,Over,False,False,
2025-10-28,VGK,CAR,6,3,9,True,6.0,0.5964,0.4036,Over,6.15,-10.86,Over,True,True,86.96
2025-10-28,OTT,CHI,3,7,10,True,6.0,0.6121,0.3879,Over,9.99,-14.70,Over,True,True,95.24
2025-10-28,NJD,COL,4,8,12,True,6.0,0.5763,0.4237,Toss-up,4.14,-8.85,Over,False,False,
2025-10-28,WSH,DAL,0,1,1,True,5.5,0.5521,0.4479,Toss-up,0.66,-5.21,Under,False,False,
